A[32] B[32] Shift[5] CarryIn[1] Codop[4] S[32] Flags[4]

00001110101111001111010111000011 01100011010110100000111011101111 00000 0 1010 01100011010110100000111011101111 00xx
00100101010001111001010010111000 11010101000100010110001000100000 00000 1 1010 11010101000100010110001000100000 10xx
01010111101011101111000010111010 00100110000101011001110011111100 00000 1 1011 00100110000101011001110011111100 00xx
10000011011011011110101010000100 00011110111010011101100110111111 00000 0 1011 00011110111010011101100110111111 10xx
11011111010101111101110011111100 01100011011111010110000001111010 00000 0 1100 11111111011111111111110011111110 1000
11110100110010111110000101000100 10000010010110110100111111101101 00000 0 1100 11110110110110111110111111101101 1000
10111011000000011111110010101010 00111001100011001110110101001010 00000 0 1100 10111011100011011111110111101010 1000
10000000101001111110100100010100 01110010001100011011101011001111 00000 0 1101 10001011111100011111111100101100 10xx
01111110000010010101010011100010 01111010010110100111001111110001 00000 0 1101 01100011010111100110111011000010 00xx
10011111011000010011010001110011 01001111001010011100101010011010 00000 0 1110 01000000000010001100101010001000 0000
10010110001110101001000110001110 10110100001001011010100010101011 00000 0 1110 00100000000001010010100000100001 0000
00100101100100000100000111010110 00001010011000111001100000011011 00000 0 1111 11110101100111000110011111100100 1000
00100101100100000100000111010110 00001010011000111001100000011011 00000 0 1111 11110101100111000110011111100100 1000
10101100111001010100111101101011 00000011101110101000000010001000 00000 1 1010 00000011101110101000000010001000 00xx
10111100001100110011101000110001 10110110110011001011101110010101 00000 0 1010 10110110110011001011101110010101 10xx
11000100101001010101001100111011 10010011010110101111011111000110 00000 0 1010 10010011010110101111011111000110 10xx
00010101111001100001010101101000 10110111000110110101101101000100 00000 1 1010 10110111000110110101101101000100 10xx
10001001100111101111101001101000 00011010000110111111011001000000 00000 0 1111 11100101111001000000100110111111 1000
01010111111000101011111010111101 10011100110010010100000010010011 00000 0 1111 01100011001101101011111101101100 0000
01011011010011011000100100110000 11010000000010111100000111110000 00000 0 1111 00101111111101000011111000001111 0000
11100000101011000001010010000010 10000010100010101100000111111001 00000 0 1111 01111101011101010011111000000110 0000
