Instruction[16] Enable[1] Rd[3] Rn[3] Rm[3] ALU_Opcode[4] Flags_Update_Mask[4] 
xxxxxxxxxxxxxxxx 0 000 000 000 0000 0000
0100000000111000 1 000 000 111 0000 1110
0100000001010101 1 101 101 010 0001 1110
0100000010010101 1 101 101 010 0010 1110
0100000011010101 1 101 101 010 0011 1110
0100000100010101 1 101 101 010 0100 1110
0100000101010101 1 101 101 010 0101 1111
0100000110010101 1 101 101 010 0110 1111
0100000111010101 1 101 101 010 0111 1110
0100001000010101 1 000 101 010 1000 1110
0100001001010101 1 101 000 010 1001 1111
0100001010010101 1 000 101 010 1010 1111
0100001011010101 1 000 101 010 1011 1111
0100001100010101 1 101 101 010 1100 1110
0100001101010101 1 101 010 101 1101 1100
0100001110010101 1 101 101 010 1110 1110
0100001111010101 1 101 000 010 1111 1110
