Instruction[16] Stack_Pointer[32] Enable[1] Store[1] Load[1] PC_Hold[1] Clk[1] Rmd[3] RAM_Addr[32] 
xxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0 0 0 0 x 000 00000000000000000000000000000000
1001011100000001 00000000000000000000000000000000 1 1 0 0 0 111 00000000000000000000000000000001
1001011100000001 00000000000000000000000000000000 1 1 0 0 1 111 00000000000000000000000000000001
1001000000000001 00000000000000000000000000000000 1 1 0 0 1 000 00000000000000000000000000000001
1001010100001001 00000000000000000000000000000000 1 1 0 0 1 101 00000000000000000000000000001001
1001111100000001 00000000000000000000000000000000 1 0 1 0 0 111 00000000000000000000000000000001
1001111100000001 00000000000000000000000000000000 1 0 1 0 1 111 00000000000000000000000000000001
1001100000000001 00000000000000000000000000000000 1 0 1 0 1 000 00000000000000000000000000000001
1001110100001001 00000000000000000000000000000000 1 0 1 0 1 101 00000000000000000000000000001001
  
